,ul,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.0,0.06813925975466045,0.007747023056864392,0.16627037632458028,1.221002273815583,0.1931784836513019,1.9225008692684942,1.315201887326417,0.664093105878248,1.9527300604233335,0.1939928314216633,0.018370401391223094,0.4337847377288183
1,0.03,0.08099025482442611,0.012558950466149176,0.17646229012526535,1.2195928522130264,0.22837769925749818,1.6823622337234425,1.2186624255628826,0.2259260431374684,1.9667103422889265,0.19622192904864375,0.026013659933748,0.5035850372117234
2,0.06,0.07448095563501403,0.004873420738073997,0.178659725026563,1.3804770989574913,0.5751905367955462,1.814442275548993,1.2415242869525691,0.36362846586743497,2.0766879388148176,0.16417001547515853,0.013392369840161716,0.3849675370827448
3,0.09,0.06539406534494645,0.004560542825187814,0.17528234758079259,1.3825978656734392,0.3794223332926649,1.8294188372152256,1.2357435776273795,0.4153547184124041,1.838031081249593,0.19521657213451404,0.023629466624809324,0.4281402905351154
4,0.12,0.07512462390943969,0.0016236840737359557,0.19319831486470762,1.4207766117702816,0.8006734137639506,1.836022838207882,1.3381900750652214,0.48406282760951436,2.0322783621344347,0.2093484559979471,0.02946412112325743,0.4726888691255081
5,0.15,0.06393619308556212,0.005167417398163122,0.16422966787973337,1.440425592411003,0.8761430140490233,1.7121587711864061,1.3793745654136427,0.7249305673341414,1.9243668265879765,0.1663980454163025,0.015988156565238578,0.3454045816184304
6,0.18,0.08106187230978026,0.0057038747078650125,0.17077212569656827,1.4482747012474038,1.0914676815467086,1.8390918636947102,1.344174130924295,0.3682700428194677,1.8766827070387415,0.23052488201880053,0.022508549220035458,0.4154952758950176
7,0.21,0.07697103770898613,0.008386154326615014,0.2309321973278234,1.5449231015345477,1.2838982807162376,1.8286963089992558,1.3163765099982445,0.3081340025415539,1.8678582574088112,0.16746163214806373,0.016904687350958143,0.3882837077307582
8,0.24,0.08764710626218404,0.003409468120252309,0.20885388794030665,1.5200540787919126,1.3288091281965815,1.7608442113176237,1.4453714349387354,0.8152475411189296,1.820532512924452,0.1784989565869074,0.02401609735912392,0.47320302505685735
9,0.27,0.07128867220686919,0.009896265493852753,0.1890610015649576,1.4807850202713146,1.2720470830259285,1.6555324060297385,1.435110023147503,0.8170590569900266,1.730201472162628,0.1843348843136144,0.023836728918342605,0.4307425476432048
10,0.3,0.09908089271953639,0.011957384256767215,0.23306923510477875,1.5392343610562043,1.3526745864169374,1.739959799398285,1.5011366502708279,1.0806574431945417,1.838790914334126,0.20831369651472784,0.020128959788089668,0.41035001530516724
