,pl,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_dl_null,min_dl_null,max_dl_null
0,0.9,0.11001356087317786,0.014640948443302196,0.30209381183065664,0.9389162613557839,0.19930048369484368,2.4349171951107293,1.7438546866369504,0.43815897085125555,3.0017979217289854,2.383994896371934,1.7454551748667246,3.5850506727751523
1,0.82,0.07353364355840325,0.007268195659161171,0.18720887197604988,1.0442944410172397,0.12940766464899983,2.0516388895810023,1.4658436645005315,0.29406599818149454,3.3436546616144827,2.2722409480821355,1.7498808559830707,3.008494854936641
2,0.74,0.10440061066380377,0.006599421414560451,0.30957238893769945,1.0882912223422931,0.16098973025099175,2.3599370697595483,1.373530721378705,0.11793355834056399,3.084713315693882,2.249629005045636,1.7853160367582552,3.0044900077473065
3,0.66,0.10323880456433264,0.010347430464210676,0.24548092575110045,1.1994375673029274,0.2702157755946872,2.128625989176712,1.3756460628520548,0.26349320163683315,2.6792701434913493,2.2033626095126784,1.686501207316655,2.8427045319017203
4,0.58,0.07772065302760389,0.007923670381269343,0.20441856733696814,1.204627421779266,0.3180961409635358,1.8925964636577313,1.4220648860280767,0.37051496091335884,2.990897755967227,2.3084375952020477,1.8628885414910301,2.8900942138531787
5,0.5,0.07885413220238861,0.003600123948360733,0.26241161327136653,1.4660522397742834,0.5783149232005054,2.289652846014716,1.4015998124626474,0.6363632251757637,2.281192758676043,2.254853240910124,1.8096521470862412,3.103861606562861
6,0.42,0.06699062093055776,0.004300591600010178,0.18621583377805173,1.4612841626619208,0.9564935900074172,2.067018099813898,1.3881065298192203,0.35205279988022675,2.433395795479638,2.183530986239381,1.7683397786932844,2.707520392675643
7,0.34,0.07169468176926022,0.002689148641758604,0.21063083202911417,1.4803428707591104,1.1973832085214353,1.7784772768117432,1.403318046100547,0.7044935572530068,2.097911880306177,2.1790319927303776,1.801489121558155,2.6764748712850652
8,0.26,0.07450633128721097,0.004294761474792386,0.21166839708567958,1.4940561237256624,1.2718497636585209,1.7397592297655855,1.5133647020530656,0.9579058403526447,2.090081298342255,2.187648573129091,1.8156408474154948,2.544574867916053
9,0.18,0.08169918713563433,0.008361101548022536,0.22994262174799732,1.502808077508741,1.2904280891168471,1.808247422047333,1.4743075993656256,1.0286262420974688,2.119246435852106,2.129159107908101,1.7337249572180156,2.5786851968019775
10,0.1,0.06719481910269845,0.007019897662650117,0.18948974268776708,1.5459434040418123,1.3415888364268007,1.8423017168229667,1.5077401072879693,1.0342726745957023,2.099099331760704,2.2272701423167405,1.7812871298081911,2.569745024547098
