,al,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.0,0.10771477595550387,0.007413555428705646,0.3242342961971159,1.5687811558046052,0.32888299211266175,3.4472865144125096,1.3898223948274966,0.09182150870333183,3.4377680923747334,0.4952201959723926,0.01622184872876124,1.8394485548202755
1,0.5,0.12755563858299848,0.006351518654684688,0.2974187309497999,1.4020886508053405,0.04186432602557241,6.083956757364068,1.4892833977045081,0.12124899677918538,3.3502493045434787,0.5049438460430045,0.029429962021002173,1.9907831568472794
2,1.0,0.10005619266856361,0.005611887039318412,0.2948346643656364,1.1911629212769583,0.13639989068319222,3.371608963434456,1.4724647758785752,0.1966022498037217,2.847204350387876,0.4720149161299829,0.02735251073188159,1.5124843692187826
3,1.5,0.1363046255969767,0.006640780125443121,0.3264891414780118,1.1895688338546122,0.15298428933295893,3.4861186081424673,1.3779179878700523,0.2291132680540939,2.7695555415001696,0.48873442655335564,0.02248264338920659,1.793848053538808
4,2.0,0.11240454108751048,0.018456090160925805,0.2820828744378916,1.3631895523821236,0.09054402075077685,4.250764467011023,1.5600717527434935,0.06271434493244278,3.3827901750217175,0.42984751413192634,0.03289093958125324,1.9355253977867912
5,2.5,0.12564893728593476,0.009362942502040957,0.3126962269781222,0.8137628790995974,0.050501020770173474,1.965498522833801,1.5284897272458216,0.17071826660865003,2.6639410664508043,0.41932359598915736,0.019460255558159997,1.9611245308160417
6,3.0,0.11108562260893134,0.013925983052148977,0.2723221601633207,0.6174437839263401,0.07923687562084294,1.3029323519789122,1.3762640674658777,0.19077815596522185,2.4648471994882235,0.3344865651823384,0.04569083395751578,1.0026402909716492
7,3.5,0.13494098637026514,0.008619979302057329,0.2931060745414373,0.9632234091178912,0.10483653195842359,1.6260860868399465,1.53493404050515,0.5637143997221034,2.788111818185411,0.41957985414972265,0.02781813402818875,2.3004403899453667
8,4.0,0.12248737715717047,0.0025432153689162375,0.2581884841499096,0.8357483279764588,0.06902059054625276,1.7522601264516726,1.3825029860326905,0.4295220353782187,2.2325440302152497,0.2843749982698352,0.009776948877010524,0.8227838742762387
9,4.5,0.11432115159808985,0.01112562850162916,0.27345149821901577,1.4262011171486286,0.41804097813347535,2.272480837855208,1.361156914468975,0.5921996475477267,2.0912728636334217,0.184927028076692,0.01697229387614633,0.3737230217789617
10,5.0,0.09458404381526606,0.005107945785520786,0.2010834974254803,1.5677298024790278,1.1550375027984354,2.3917103190794236,1.290503287852689,0.5645338103406451,1.8023612051227527,0.2323231635888125,0.00462347252408968,0.4298698049240624
