,bl,error_dl,min_dl,max_dl
0,1.0,0.3179880937389682,0.07555544557281713,0.5162952577267533
1,1.1,0.35140297907989115,0.05134048742713262,1.0191071866590142
2,1.2,0.29722026404531693,0.04792620563158392,0.5351283523123912
3,1.3,0.2733221195842533,0.015252808701453326,0.5253237297030386
4,1.4,0.28371118448094923,0.07791019476330642,0.47301805310494704
5,1.5,0.3485359831963595,0.0484955655982524,0.9785448707891344
6,1.6,0.35627327012613097,0.06257982418710378,1.041978961572811
7,1.7,0.3880375791302117,0.06875611958879031,0.9502077887238131
8,1.8,0.3463867973113167,0.03176646248850393,1.1234242823959744
9,1.9,0.25224136452735946,0.011484875792831601,0.44889004861039683
10,2.0,0.31733436591627096,0.05059385029448819,0.5888353946142224
