,error_dl_1e-05,min_dl_1e-05,max_dl_1e-05,error_dl_2e-05,min_dl_2e-05,max_dl_2e-05,error_dl_3e-05,min_dl_3e-05,max_dl_3e-05,error_dl_4e-05,min_dl_4e-05,max_dl_4e-05,error_dl_5e-05,min_dl_5e-05,max_dl_5e-05,kl
0,0.0725293477607882,0.029429159485783122,0.18903041655300099,0.11737693532502665,0.0091750441690662,0.276333688399675,0.08087139820363624,0.0156037408277804,0.20953822998940377,0.13353559266236337,0.05788186991273055,0.3679875085990812,0.13149200785089363,0.04274116718407864,0.2533863607911466,0.2
1,0.06563793317311552,0.0030806947336718435,0.13446808397712307,0.12228142700857805,0.04261797054578332,0.24303736505873524,0.07590858247770513,0.03025568682640973,0.12466225874925209,0.10373575359619672,0.04738096369438778,0.20372177173303585,0.10967970536963705,0.011583355311707491,0.18652809042404686,0.22
2,0.10094162534989451,0.01757306222472452,0.17098428941568058,0.06394271442878863,0.025791842816134312,0.1278430735487689,0.0631454848454468,0.008198302674739174,0.13364425921728562,0.07043629330998602,0.010778973617035266,0.1638522845865316,0.11265678772659297,0.032465195680893406,0.2064957622837941,0.24
3,0.06395214683724575,0.00037891170444630495,0.17074579157921912,0.10653696663639015,0.017067875738068616,0.22310345764928186,0.09966855148097056,0.01700714966202176,0.2671350829418867,0.0796028473726422,0.010385473999131416,0.1571273277290174,0.08514459295069929,0.0014860278973003558,0.23406093661447583,0.26
4,0.0882590985975226,0.011921068663494079,0.23443676388558804,0.0761406340880608,0.00541715992512781,0.20209014856799298,0.13815523377753158,0.024895389365366123,0.21438780990873701,0.07331950617556082,0.012080732258884449,0.15967178433762547,0.06917908953995713,0.012090180027901002,0.28133113886960953,0.28
5,0.09349265167066219,0.014662849447753762,0.170744545211885,0.0976570174137592,0.004407406111427142,0.13765400714495715,0.1238820369696029,0.012312223665114018,0.22243544141677793,0.0642590966049275,0.00405494390207254,0.12033067379480884,0.12133840836631474,0.016174439184602176,0.3841520655760436,0.3
6,0.08025540868330001,0.020502887582513674,0.15013492848897503,0.09003997237372172,0.02041533836888442,0.22039244963561203,0.08134025643064442,0.012640249435485749,0.21523546107813846,0.10049145121591282,0.025009646897350992,0.20166279343804977,0.08820914515990057,0.004578051239298788,0.20710273840848228,0.32
7,0.061984763853871305,0.0026593831613956303,0.21767171113621686,0.07328618538865231,0.03597520416788081,0.15950076172078828,0.087141161393327,0.00768321407410171,0.17167862585612859,0.09888310978607834,0.013417379780180089,0.21590927525659398,0.11052230485317663,0.04900767417277429,0.2788136852430126,0.34
8,0.07661431193356105,0.0018727866421400674,0.19139940880593587,0.0782528187497665,0.001412105715968072,0.14391583237475314,0.0691996036944567,0.00043017162804849925,0.15756577528217255,0.09255794770193307,0.004894157660290199,0.20725127503127527,0.09439009470855689,0.023830578611240837,0.22142537507256685,0.36
9,0.07198519223058689,0.005482045707320418,0.1345924566561912,0.07461262024357353,0.01726400905646226,0.15481104975030505,0.08210761810318622,0.004393406039418372,0.1598497255166394,0.11429258596090253,0.0004171007425680032,0.33871520482071954,0.08286394550686818,0.005064454820361529,0.27016397580351825,0.38
10,0.10781509357539683,0.03622812494540027,0.18254606887171554,0.09935210447188551,0.004342819020441742,0.21670293852862166,0.10340331772572287,0.02060659702772669,0.22664854991824016,0.09593931594418112,0.0038215818263788665,0.36090201965967966,0.08705400601891546,0.0030416292621922667,0.1716098024927348,0.4
