,kl,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_dl_null,min_dl_null,max_dl_null
0,0.2,0.1143128938908929,0.013081214505987027,0.3170052629808693,1.7002329221004107,1.5030264556643398,2.0548668885881223,1.6429230167992979,1.2197480472007065,2.310845864889869,2.3480643394771574,1.9316408537847112,3.0712330863097925
1,0.22,0.08854061247352242,0.004313280226673337,0.24922765564633584,1.075494949592301,0.717768422795688,1.4969943251822946,1.5809451587083516,1.0001098424759438,2.2122082749964993,2.432978874880408,1.8411646355953384,3.065442234752558
2,0.24,0.08683707694435673,0.003436723347096851,0.21374788579380322,1.8839074381666245,1.6330464495147632,2.1767907093731136,1.5991606797712208,1.098687997425339,2.0981267687528753,2.28561874331688,1.8479515456202282,2.8941412778419444
3,0.26,0.10064527413059451,0.016513524717888365,0.25071136087288404,1.5482870569191391,1.1390120805728865,2.242011075548816,1.6069769754196228,1.1414464759493548,2.167429813289928,2.345734313216754,1.7930834963087898,3.2086828440508373
4,0.28,0.05801991545587075,0.004995589934023062,0.1538494553837306,1.5267851582913456,1.106168864786064,1.919656980321293,1.5508131390385684,0.7965864697684844,2.0704456988169935,2.2465771686929648,1.8226692250147294,2.708054587184848
5,0.3,0.06963310536836086,0.003978318422999708,0.16839813647307086,1.6407104761716689,1.301288896633086,2.0801502681672823,1.6028075546394494,1.1102253105020154,2.093367578597804,2.3444945253354206,1.8962784969708446,2.9047682047375605
6,0.32,0.10640936777207692,0.01455785475983595,0.2593220785616511,1.1747445721317151,0.9755799466807042,1.4742547278936426,1.526995146885713,1.07648006048404,2.236784764634593,2.2179955823483666,1.7933728355343639,2.526796774731896
7,0.34,0.09693362754064676,0.0056238815052933365,0.2476507681610742,1.6245010311262464,1.4266155490433619,1.9389549506258092,1.4900936849172104,1.028146014487043,1.9449028839026972,2.2504310881295484,1.8129205782354096,2.7810020208534567
8,0.36,0.07721754269638811,0.00788378584675758,0.18694980011599638,1.9067643929287104,1.7198798340330277,2.1796801062103466,1.5322332062958268,1.1368404628640258,1.8919404914730222,2.264475383847777,1.8282377920455726,2.8091322798409677
9,0.38,0.0627637147201867,0.003452806366431869,0.16368752676896897,1.9165850822391528,1.6648945878501458,2.2658760663014057,1.4778667828433365,1.1481495341843149,1.8673805242641366,2.2343164946795993,1.82312462675817,2.709361591173214
10,0.4,0.07067639847338049,0.006968230509423749,0.1503434052514798,1.8916963911348605,1.470281117734291,2.4597446425540634,1.5389413761799164,1.1860690302982821,1.7986032288254319,2.2443238003249415,1.7396446242803718,2.779523872069902
