,bl,error_dl,min_dl,max_dl
0,0.0,0.07265413257477146,0.011918731136176308,0.16130900532135847
1,0.02,0.06578305512914281,0.005295326757751466,0.1804016441062642
2,0.04,0.0718877979417327,0.012702675890332804,0.14725068758543738
3,0.06,0.06654819084274255,0.011541376271750661,0.16975051546364614
4,0.08,0.049009125515062577,0.002166037868897486,0.11999423964457143
5,0.1,0.07870257362209557,0.006952203935191774,0.1889506888235673
6,0.12,0.057835731325117413,0.0022186603973254736,0.15931239970358269
7,0.14,0.06020443597924782,0.005147918229886644,0.1568757268765072
8,0.16,0.0651338511846343,0.006359809287259644,0.1543051001964688
9,0.18,0.06420089152194083,0.0045790516655019025,0.13663763675768742
10,0.2,0.07140684050761852,0.005681558167004635,0.1645750159240612
