,rl,error_dl_sup,min_dl_sup,max_dl_sup,error_dl_sub,min_dl_sub,max_dl_sub
0,0.0,0.11104906811779149,0.0013824141212456262,0.2502526055486207,0.10881978080788787,0.030827124209856772,0.22233420921544267
1,0.02,0.09266989825485164,0.005832333491989544,0.24732258366184007,0.1250909215507576,0.0017486910055616056,0.2683321192259974
2,0.04,0.10439362932716939,0.008411149624066052,0.2720023123730125,0.10424554394866158,0.0068302355888545715,0.23274735279518952
3,0.06,0.11019741662577953,0.015093473748367088,0.2436661099576926,0.12042437896861953,0.019763066725142806,0.2553376246624126
4,0.08,0.15344503511600627,0.004225852457544125,0.32533380613738716,0.09727232375501275,0.01498723102649386,0.22867822159079407
5,0.1,0.12069393337986668,0.0051087538000340596,0.30871922881274005,0.14301663734627323,0.011472941952268719,0.30052045034596814
6,0.12,0.12595178829558853,0.009060076051799579,0.2878908825449487,0.13161565624005264,0.018387779445991292,0.2680535688929527
7,0.14,0.13018215481300957,0.004533972685033128,0.3780271126078746,0.1452699688792832,0.010534715829170368,0.30923976369837436
8,0.16,0.11995372090655071,0.010751104692651444,0.2755994229231032,0.14037672407231064,0.013003208869059679,0.26796828361215036
9,0.18,0.1418636043387524,0.006460853895228477,0.2926427059995187,0.1394933885313978,0.019961198950813212,0.2690442996559732
10,0.2,0.12223252309843163,0.015002058085108428,0.3244436447987596,0.1252526768576456,0.009480167816787368,0.2865135952188795
