,ssf_list,preds_f_list,relative_ef_list,ssr_list,preds_r_list,relative_er_list
0,0.1,1.1691618216306001,0.03735659442699968,1.9,0.8678872334271979,0.03665989104321162
1,0.2,1.1618039028871328,0.022320345541855947,1.8,0.8896201183556243,0.0160107780868267
2,0.3,1.162595772476878,0.02687594446934114,1.7,0.8791675061414926,0.011488696672798605
3,0.4,1.1509230454097812,0.0059530044004618725,1.6,0.8878934627494217,0.017248977674176155
4,0.5,1.1480006319831764,0.017490347064243527,1.5,0.8722638176028268,0.0465965503394265
5,0.6,1.1558685801226998,0.013689859414620373,1.4,0.8898138190387032,0.030982612180444482
6,0.7,1.1556139992942023,0.01515460087661206,1.3,0.888551612755977,0.031605838860577794
7,0.8,1.1665191508456123,0.09777066401770415,1.2,0.8849109739635853,0.01268375837308263
8,0.9,1.1549332219433246,0.022274042586506664,1.1,0.882628528918695,0.007014478606212921
9,1.0,1.1483339852670833,0.07065325367799535,1.0,0.8858284277453649,0.051827982914830116
10,1.1,1.1531171788717451,0.013779504639530262,0.9,0.8839457666442253,0.10172111465537902
