,ssf_list,preds_f_list,relative_ef_list,ssr_list,preds_r_list,relative_er_list
0,1.0,4.587668616487908,0.003645517117670673,2.0,4.844468472879942,0.015734215527840052
1,1.04,4.574014918043893,0.02885056677838894,1.96,4.840177381884056,0.010108551279958463
2,1.08,4.585805922522465,0.007796697861708467,1.92,4.849841843024174,0.02883064277803748
3,1.12,4.599016561401174,0.02372899411117508,1.88,4.8208759013543,0.032856962778260446
4,1.16,4.580422202467375,0.02794412551926603,1.84,4.819896653820869,0.03851691198819971
5,1.2,4.568062167251217,0.0704895212286757,1.8,4.837346323169768,0.009320390613353888
6,1.24,4.596011577179054,0.02132773377396593,1.76,4.852294904528397,0.058860467785243495
7,1.28,4.5900986652720785,0.0011546421176213799,1.72,4.834592111952598,0.002066783527213975
8,1.32,4.599636608851562,0.06407420543697334,1.68,4.8365558104512,0.010010052773709085
9,1.36,4.5836916542976995,0.05063002419156129,1.64,4.8379094968587095,0.021116873106612345
10,1.4,4.590541800999157,0.01058277316992089,1.6,4.838176657083183,0.05248699116135538
